id,serial_number,material_name,specification,unit,quantity,unit_price,total_price,category,is_matched,is_analyzed,is_problematic
1856,,热轧带肋钢筋,HRB400φ18,t,0.157543,3536.0,557.072048,,True,False,False
1858,,热轧光圆钢筋,综合,t,0.161854,3866.0,625.727564,,True,False,False
1859,,热轧光圆钢筋,HPB300 φ10,t,0.051204,3827.0,195.957708,,True,False,False
1860,,热轧光圆钢筋,HPB300φ8,t,0.776506,3864.0,3000.4191840000003,,True,False,False
1862,,型钢,综合,t,46.989866,3687.0,173251.635942,,True,False,False
1863,,镀锌钢管,综合,t,0.103054,3687.0,379.960098,,False,False,False
1864,,型钢(幕墙用),,t,4.768995,4687.0,22352.279565,,False,False,False
1865,,镀锌方钢管,50*50*5,t,0.74942,4507.0,3377.6359399999997,,False,False,False
1866,,热镀锌方钢管龙骨(@400),内部40*40*4,t,0.01749,4687.0,81.97563,,False,False,False
1867,,不锈钢板,2厚,m2,140.091,244.55,34259.25405,,False,False,False
1868,,钢板,2厚,m2,4.42134,75.55,334.03223699999995,,False,False,False
1869,,中厚钢板,综合,t,11.628194,3923.0,45617.405062000005,,False,False,False
1872,,白色硅酸盐水泥,425#、二级白度,kg,7924.54974,0.496,3930.5766710400003,,True,False,False
1873,,黄砂,细沙,t,21.764235,167.0,3634.6272449999997,,True,False,False
1874,,黄砂,净砂,t,0.983567,167.0,164.255689,,True,False,False
1876,,碎石,综合,t,8.77104,127.0,1113.9220799999998,,True,False,False
1877,,碎石,40-60,t,106.991005,122.0,13052.902610000001,,True,False,False
1878,,水洗豆石,φ3-5mm,kg,18478.467,0.86,15891.48162,,False,False,False
1879,,园林用卵石,本色,t,6.703032,150.0,1005.4548000000001,,False,False,False
1880,,卵石,φ30-50,t,2.83968,156.32,443.89877759999996,,False,False,False
1881,,卵石,φ30-60,t,1.09008,156.32,170.40130559999997,,False,False,False
1883,,生石灰,,kg,1371.9537,0.425,583.0803225,,True,False,False
1884,,芝麻灰花岗岩,8cm厚,m3,0.707,2754.0,1947.078,,False,False,False
1885,,混凝土实心砖,240×115×53 MU10,千块,6.148178,398.0,2446.974844,,True,False,False
1887,,干混地面砂浆,DS M20.0,kg,18394.3587,0.335,6162.110164500001,,True,False,False
1888,,干混抹灰砂浆,DP M15.0,kg,11366.22465,0.336,3819.0514824,,True,False,False
1889,,干混砌筑砂浆,DM M7.5,kg,5027.37345,0.321,1613.78687745,,True,False,False
1891,,SBS粗粒式沥青混凝土,AC-25C,m3,57.922389,957.0,55431.726273,,True,False,False
1892,,20厚菠萝格防腐木,,m2,42.63,160.0,6820.8,,False,False,False
1893,,6+6钢化夹胶玻璃,,m2,7.26054,173.0,1256.07342,,False,False,False
1894,,"6+6夹胶钢化玻璃,贴彩色防爆膜",,m2,33.1807,203.0,6735.6821,,False,False,False
1895,,瓷砖,150×220,m2,47.5116,60.0,2850.696,,False,False,False
1896,,白色瓷砖,300*600,m2,231.0702,60.0,13864.212,,False,False,False
1897,,红缸砖,300×300,m2,76.9307,45.0,3461.8815,,False,False,False
1898,,20厚菠萝格防腐木地板,,m2,15.204,160.0,2432.6400000000003,,False,False,False
1899,,600*600*50厚芝麻灰荔枝面,,m2,4.4064,163.0,718.2431999999999,,False,False,False
1900,,50厚芝麻灰花岗岩,,m2,209.1714,163.0,34094.938200000004,,False,False,False
1901,,30厚芝麻灰花岗岩,,m2,85.7004,118.0,10112.6472,,False,False,False
1902,,芝麻灰花岗岩5cm厚,,m2,6.341544,163.0,1033.671672,,False,False,False
1903,,12厚防水纸面石膏板,,m2,48.9084,21.68,1060.334112,,False,False,False
1904,,25厚菠萝格防腐木,,m2,25.5025,175.0,4462.9375,,False,False,False
1905,,12厚纤维水泥压力板,,m2,444.0996,60.0,26645.976000000002,,False,False,False
1906,,仿木铝纹格栅,20*80*1.0mm,m2,12.6149,195.0,2459.9055000000003,,False,False,False
1907,,铝合金断桥隔热推拉窗,1.4厚 5+9A+5中空玻璃,m2,6.365181,489.74,3117.28374294,,True,False,False
1908,,钛金字,0.5m2以内,个,8.16,207.05,1689.528,,False,False,False
1909,,聚合物水泥基复合防水涂料,JS Ⅰ型,kg,1232.622211,8.792,10837.214479112,,False,False,False
1910,,复合井盖,300*600*30,m2,16.059,150.0,2408.8500000000004,,False,False,False
1911,,150*300*900芝麻白侧石,,m,43.6421,69.9,3050.5827900000004,,False,False,False
1912,,EPDM颗粒塑胶地面,,m2,819.27,210.0,172046.69999999998,,False,False,False
1913,,8厚*50不锈钢嵌条,,m,121.047959,60.0,7262.87754,,False,False,False
1914,,铺设人工草坪,,m2,304.3,20.0,6086.0,,False,False,False
1915,,电动伸缩移门,,套,1.0,12000.0,12000.0,,False,False,False
1916,,15mm厚EPDM塑胶面层,,m2,231.17,210.0,48545.7,,False,False,False
1917,,橡胶板楼地面,,m2,43.38,210.0,9109.800000000001,,False,False,False
1918,,成品定制人造石洗手台盆,,台,4.0,1200.0,4800.0,,False,False,False
1919,,泵送商品混凝土,C30,m3,32.421,504.0,16340.184,,True,False,False
1921,,非泵送商品混凝土,C20,m3,17.930542,479.0,8588.729618,,True,False,False
1922,,非泵送商品混凝土,C25,m3,20.79491,484.0,10064.73644,,True,False,False
1924,,PPR,DN50,m,203.0,24.9,5054.7,,False,False,False
1925,,樱桃树，胸径15cm，冠径2.0m，株高2.3m,,株,3.03,310.0,939.3,,False,False,False
1926,,"红枫树，冠径3.8m,株高5.6m",,株,1.01,5500.0,5555.0,,False,False,False
1927,,"红枫树，冠径3.0m,株高4.5m",,株,1.01,1284.0,1296.84,,False,False,False
1928,,枇杷树，胸径13cm，冠径3.8m，株高5.6m,,株,6.06,1000.0,6060.0,,False,False,False
1929,,"樱花树，胸径16cm，冠径4.0m,株高3.6m",,株,1.01,3200.0,3232.0,,False,False,False
1930,,种植土,,m3,153.659736,20.0,3073.1947200000004,,False,False,False
1931,,水泵：流量：160L/min，扬程：7.5m，300W，安装调试及所需配件等,,台,1.0,1600.0,1600.0,,False,False,False
1932,,成品智能闸机,,台,1.0,16300.0,16300.0,,False,False,False
1933,,"地毯草,高5-10cm",,m2,929.97156,13.76,12796.4086656,,False,False,False
1855,,热轧带肋钢筋,HRB400综合,t,2.268855,3612.0,8195.10426,,True,False,False
1857,,热轧带肋钢筋,HRB400φ16,t,2.391622,3536.0,8456.775392,,True,False,False
1870,,白色铝单板,2.5,m2,102.501,238.0,24395.238,,True,False,False
1890,,干混砌筑砂浆,DM M15.0,kg,14204.5266,0.323,4588.0620917999995,,True,False,False
1861,,热轧光圆钢筋,HPB300综合,t,0.252505,3866.0,976.1843299999999,,True,False,False
1871,,橙色铝单板,2.5,m2,44.457,238.0,10580.766,,True,False,False
1920,,非泵送商品混凝土,C15,m3,50.670297,473.0,23967.050481,,True,False,False
1923,,非泵送商品混凝土,C30,m3,27.763985,500.0,13881.9925,,True,False,False
1875,,石屑,,t,11.387853,136.0,1548.748008,,True,False,False
1882,,塘渣,,t,38.96136,58.25,2269.49922,,True,False,False
1886,,干混地面砂浆,DS M15.0,kg,7991.5861,0.327,2613.2486547000003,,True,False,False
